Zip Code,Households With Computer,Households With Broadband Internet
05459,531,514
05461,1928,1814
05462,668,637
05463,183,176
05464,1096,1031
05465,2200,1965
05468,4564,4101
05471,384,365
05472,771,707
05473,555,546
05474,510,498
05476,999,918
05477,1726,1586
05478,5638,5340
05481,,
05482,3076,2907
05483,495,477
05485,,
05486,563,535
05487,581,564
05488,2617,2573
05489,1373,1231
05491,2317,2139
05492,315,311
05494,546,504
05495,4180,4083
05602,5334,5183
05640,72,72
05641,6703,6487
05647,427,413
05648,208,191
05649,169,155
05650,375,349
05651,518,518
05652,274,253
05653,243,203
05654,600,589
05655,1165,1064
05656,1247,1051
05658,567,456
05660,703,681
05661,2611,2467
05663,1955,1889
05664,,
05666,9,9
05667,933,802
05669,301,235
05670,9,9
05672,2349,2159
05673,1003,918
05674,686,673
05675,377,352
05676,1951,1899
05677,853,821
05678,34,34
05679,1113,1072
05680,802,750
05681,55,52
05682,455,411
05701,8651,7839
05730,150,150
05731,,
05732,441,382
05733,2234,2169
05734,423,361
05735,1174,993
05736,232,185
05737,239,217
05738,454,428
05739,465,397
05742,225,212
05743,1348,1185
05744,149,159
05746,,
05747,102,98
05748,222,207
05751,301,271
05753,3455,3183
05757,274,253
05758,230,217
05759,644,584
05760,320,288
05761,374,355
05762,187,151
05763,1132,1056
05764,916,803
05765,620,571
05766,228,227
05767,580,530
05768,14,11
05769,448,405
05770,381,354
05772,347,326
05773,835,714
05774,350,318
05775,192,159
05776,108,97
05777,1322,1215
05778,289,284
05819,3485,3291
05820,130,122
05821,324,293
05822,685,637
05824,401,384
05825,31,31
05826,250,241
05827,152,145
05828,763,747
05829,648,589
05830,551,529
05832,381,354
05833,14,14
05836,500,461
05837,112,86
05839,218,214
05840,10,12
05841,155,143
05842,204,179
05843,855,726
05845,474,445
05846,516,479
05847,283,251
05850,56,56
05851,2233,1914
05853,300,284
05855,2984,2851
05857,494,449
05858,125,105
05859,768,758
05860,1028,980
05862,123,117
05866,249,233
05867,237,204
05868,35,35
05871,459,442
05872,362,361
05873,309,271
05874,183,173
05875,185,166
05901,9,9
05902,43,43
05903,315,293
05904,95,73
05905,375,320
05906,455,411
05907,50,46
06001,7239,6902
06002,8171,7812
06010,22689,21497
06013,3218,3140
06016,2662,2508
06018,885,782
06019,3759,3859
